courseId,sectionNumber,semesterId,day,startTime,endTime
CS1012026SPRING,1,2026SPRING,Monday,09:00,10:30
CS1012026SPRING,1,2026SPRING,Wednesday,09:00,10:30
CS1022026SPRING,1,2026SPRING,Tuesday,11:00,12:30
CS1022026SPRING,1,2026SPRING,Thursday,11:00,12:30
CS2022026SPRING,2,2026SPRING,Monday,13:00,14:30
CS2022026SPRING,2,2026SPRING,Wednesday,13:00,14:30
CS3152026SPRING,1,2026SPRING,Tuesday,15:00,16:30
CS3152026SPRING,1,2026SPRING,Thursday,15:00,16:30
CS4232026SPRING,1,2026SPRING,Friday,10:00,11:30
CS4232026SPRING,1,2026SPRING,Friday,14:00,15:30
