id,name,building,capacity,examSeatingCapacity
EAZ01,Z01,EA,60,10
EAZ02,Z02,EA,40,10
EAZ03,Z03,EA,40,20
EA101,101,EA,30,20
EA102,102,EA,30,20
EA103,103,EA,80,30
EA201,201,EA,40,20
EA202,202,EA,30,10
EA203,203,EA,50,40
EBZ01,Z01,EB,90,10
EBZ02,Z02,EB,70,30
EBZ03,Z03,EB,90,50
EB101,101,EB,70,10
EB102,102,EB,70,60
EB103,103,EB,60,10
EB201,201,EB,90,60
EB202,202,EB,30,10
EB203,203,EB,80,10
EEZ01,Z01,EE,80,40
EEZ02,Z02,EE,70,60
EEZ03,Z03,EE,80,50
EE101,101,EE,90,10
EE102,102,EE,50,10
EE103,103,EE,30,10
EE201,201,EE,80,60
EE202,202,EE,80,10
EE203,203,EE,60,10
BZ01,Z01,B,40,30
BZ02,Z02,B,40,30
BZ03,Z03,B,70,10
B101,101,B,50,10
B102,102,B,80,20
B103,103,B,70,30
B201,201,B,60,30
B202,202,B,30,10
B203,203,B,40,30
SAZ01,Z01,SA,90,80
SAZ02,Z02,SA,70,10
SAZ03,Z03,SA,40,10
SA101,101,SA,90,40
SA102,102,SA,50,40
SA103,103,SA,70,60
SA201,201,SA,60,10
SA202,202,SA,30,10
SA203,203,SA,90,40
SBZ01,Z01,SB,60,40
SBZ02,Z02,SB,70,20
SBZ03,Z03,SB,90,60
SB101,101,SB,30,10
SB102,102,SB,30,20
SB103,103,SB,90,30
SB201,201,SB,30,20
SB202,202,SB,80,50
SB203,203,SB,30,20
AZ01,Z01,A,60,10
AZ02,Z02,A,80,70
AZ03,Z03,A,80,40
A101,101,A,90,40
A102,102,A,30,20
A103,103,A,90,70
A201,201,A,60,40
A202,202,A,30,20
A203,203,A,60,50
TZ01,Z01,T,70,50
TZ02,Z02,T,80,60
TZ03,Z03,T,70,10
T101,101,T,30,10
T102,102,T,50,40
T103,103,T,80,50
T201,201,T,60,10
T202,202,T,40,30
T203,203,T,70,60
MAZ01,Z01,MA,90,60
MAZ02,Z02,MA,30,20
MAZ03,Z03,MA,50,10
MA101,101,MA,70,60
MA102,102,MA,60,50
MA103,103,MA,50,10
MA201,201,MA,80,30
MA202,202,MA,50,30
MA203,203,MA,60,30
GZ01,Z01,G,60,30
GZ02,Z02,G,30,10
GZ03,Z03,G,80,30
G101,101,G,50,20
G102,102,G,50,10
G103,103,G,30,20
G201,201,G,50,20
G202,202,G,30,20
G203,203,G,50,40
FFZ01,Z01,FF,90,60
FFZ02,Z02,FF,40,30
FFZ03,Z03,FF,70,60
FF101,101,FF,80,30
FF102,102,FF,40,10
FF103,103,FF,70,20
FF201,201,FF,60,30
FF202,202,FF,70,50
FF203,203,FF,70,10
FBZ01,Z01,FB,70,30
FBZ02,Z02,FB,50,20
FBZ03,Z03,FB,60,50
FB101,101,FB,90,80
FB102,102,FB,50,40
FB103,103,FB,80,70
FB201,201,FB,40,30
FB202,202,FB,90,50
FB203,203,FB,80,40
FAZ01,Z01,FA,80,60
FAZ02,Z02,FA,80,50
FAZ03,Z03,FA,90,10
FA101,101,FA,40,10
FA102,102,FA,90,70
FA103,103,FA,90,80
FA201,201,FA,30,20
FA202,202,FA,30,20
FA203,203,FA,60,20
FCZ01,Z01,FC,70,50
FCZ02,Z02,FC,70,10
FCZ03,Z03,FC,60,40
FC101,101,FC,30,20
FC102,102,FC,50,40
FC103,103,FC,40,20
FC201,201,FC,60,10
FC202,202,FC,70,10
FC203,203,FC,50,20
