id,courseId,isOutdated,date,duration,examType,proctorNum,manualAssignedTAs,autoAssignedTAs
exam001,ME301,False,2025-05-29,180,makeup,1,2,0
exam002,IE201,True,2025-04-22,90,final,1,0,3
exam003,ME301,True,2025-04-02,120,makeup,3,3,1
exam004,EE101,False,2025-05-06,60,makeup,1,2,2
exam005,IE201,False,2025-05-08,60,quiz,2,0,4
exam006,ME201,False,2025-05-11,120,makeup,4,0,2
exam007,CS401,False,2025-05-29,60,makeup,3,0,1
exam008,ME201,True,2025-04-17,120,final,4,2,4
exam009,CS201,False,2025-05-22,90,midterm,5,3,4
exam010,CS501,False,2025-05-30,90,quiz,5,1,5
exam011,EE301,True,2025-04-21,60,midterm,5,3,5
exam012,IE301,False,2025-05-28,180,final,5,3,2
exam013,ME501,False,2025-05-30,90,makeup,3,2,5
exam014,EE501,False,2025-05-30,120,midterm,2,2,3
exam015,IE101,False,2025-05-07,60,final,5,2,3
exam016,EE301,True,2025-04-28,180,quiz,4,3,2
exam017,IE301,False,2025-05-29,180,makeup,4,2,0
exam018,EE301,False,2025-05-15,60,makeup,2,3,1
exam019,CS501,False,2025-05-24,60,final,4,0,3
exam020,ME101,True,2025-04-26,180,quiz,4,2,3
