id,timestamp,action,details
log001,2025-03-09 14:50:37,Exam Deleted,Exam Deleted exam030
log002,2025-04-12 07:28:04,Exam Deleted,Exam Deleted exam058
log003,2025-03-26 09:34:19,User Logged Out,User Logged Out user085
log004,2025-01-20 16:43:04,User Updated,User Updated user023
log005,2025-03-30 16:31:48,Leave Request Approved,Leave Request Approved lr053
log006,2025-03-04 13:47:27,User Logged In,User Logged In user003
log007,2025-01-08 15:25:09,Exam Deleted,Exam Deleted exam001
log008,2025-04-01 16:01:40,TA Assigned,TA Assigned ta095 for exam017
log009,2025-04-12 06:32:43,Leave Request Approved,Leave Request Approved lr015
log010,2025-03-06 14:04:05,Leave Request Submitted,Leave Request Submitted lr034
log011,2025-03-08 22:58:02,TA Removed,TA Removed ta051 for exam019
log012,2025-02-07 05:44:09,Leave Request Rejected,Leave Request Rejected lr098
log013,2025-03-11 11:39:42,Exam Created,Exam Created exam046
log014,2025-01-02 12:01:22,Leave Request Rejected,Leave Request Rejected lr086
log015,2025-03-19 08:03:50,Exam Updated,Exam Updated exam094
log016,2025-01-03 00:46:53,TA Assigned,TA Assigned ta094 for exam004
log017,2025-02-04 12:52:02,Exam Updated,Exam Updated exam064
log018,2025-04-05 07:29:19,TA Removed,TA Removed ta093 for exam078
log019,2025-04-25 20:33:01,User Logged Out,User Logged Out user017
log020,2025-03-05 13:36:12,User Updated,User Updated user027
log021,2025-02-11 15:34:38,User Updated,User Updated user032
log022,2025-04-12 11:04:08,TA Removed,TA Removed ta042 for exam078
log023,2025-02-05 02:08:19,TA Assigned,TA Assigned ta013 for exam082
log024,2025-04-17 02:30:03,Leave Request Rejected,Leave Request Rejected lr014
log025,2025-01-13 13:21:11,TA Removed,TA Removed ta023 for exam048
log026,2025-04-26 03:16:16,Exam Created,Exam Created exam043
log027,2025-01-29 15:29:47,Leave Request Rejected,Leave Request Rejected lr074
log028,2025-02-06 08:24:33,TA Assigned,TA Assigned ta072 for exam064
log029,2025-01-29 06:43:37,Leave Request Rejected,Leave Request Rejected lr051
log030,2025-01-11 08:06:55,User Updated,User Updated user013
log031,2025-03-12 07:08:48,Leave Request Approved,Leave Request Approved lr069
log032,2025-01-26 00:03:56,Exam Deleted,Exam Deleted exam054
log033,2025-02-05 03:43:57,TA Assigned,TA Assigned ta037 for exam085
log034,2025-01-04 10:15:19,User Logged In,User Logged In user003
log035,2025-01-01 07:50:01,Leave Request Rejected,Leave Request Rejected lr008
log036,2025-03-28 16:02:40,Leave Request Approved,Leave Request Approved lr011
log037,2025-01-02 02:20:18,TA Removed,TA Removed ta040 for exam045
log038,2025-02-26 17:04:47,User Logged In,User Logged In user099
log039,2025-01-15 23:00:07,User Deleted,User Deleted user096
log040,2025-01-29 23:17:30,User Created,User Created user011
log041,2025-04-23 14:16:01,Exam Deleted,Exam Deleted exam087
log042,2025-03-27 13:39:14,User Created,User Created user048
log043,2025-04-18 14:14:41,User Updated,User Updated user095
log044,2025-02-17 16:27:41,Leave Request Approved,Leave Request Approved lr075
log045,2025-04-01 08:56:27,TA Assigned,TA Assigned ta068 for exam047
log046,2025-04-18 09:53:09,Leave Request Submitted,Leave Request Submitted lr014
log047,2025-01-07 11:43:44,Exam Updated,Exam Updated exam080
log048,2025-01-04 17:56:33,User Created,User Created user064
log049,2025-01-11 20:56:23,TA Removed,TA Removed ta066 for exam093
log050,2025-02-09 16:46:03,Leave Request Approved,Leave Request Approved lr073
log051,2025-03-01 15:09:10,Leave Request Approved,Leave Request Approved lr027
