id,subject,message,date,isRead,recipientId
notif001,Assignment Deadline,Assignment deadline is approaching.,2025-02-02 12:00:00,False,adm001
notif002,Grade Posted,Your grade has been posted.,2025-03-03 12:00:00,True,stu112
notif003,New Message,You have a new message in your inbox.,2025-04-04 12:00:00,False,stu086
notif004,Schedule Update,Your schedule has been updated.,2025-05-05 12:00:00,True,stu066
notif005,Leave Request Approved,Your leave request has been approved.,2025-06-06 12:00:00,False,ins012
notif006,New Message,You have a new message in your inbox.,2025-07-07 12:00:00,True,stu059
notif007,Swap Request Received,You have received a swap request.,2025-08-08 12:00:00,False,stu022
notif008,Schedule Update,Your schedule has been updated.,2025-09-09 12:00:00,True,stu171
notif009,New Message,You have a new message in your inbox.,2025-10-10 12:00:00,False,ins014
notif010,New Course Offering,A new course offering is available.,2025-11-11 12:00:00,True,stu062
notif011,Assignment Deadline,Assignment deadline is approaching.,2025-12-12 12:00:00,False,dea005
notif012,Schedule Update,Your schedule has been updated.,2025-01-13 12:00:00,True,stu062
notif013,Assignment Deadline,Assignment deadline is approaching.,2025-02-14 12:00:00,False,ins003
notif014,Swap Request Received,You have received a swap request.,2025-03-15 12:00:00,True,stu033
notif015,System Maintenance,System maintenance on weekend.,2025-04-16 12:00:00,False,stu084
notif016,Schedule Update,Your schedule has been updated.,2025-05-17 12:00:00,True,adm001
notif017,Assignment Deadline,Assignment deadline is approaching.,2025-06-18 12:00:00,False,ins010
notif018,New Message,You have a new message in your inbox.,2025-07-19 12:00:00,True,stu054
notif019,Assignment Deadline,Assignment deadline is approaching.,2025-08-20 12:00:00,False,stu076
notif020,New Course Offering,A new course offering is available.,2025-09-21 12:00:00,True,stu010
notif021,Swap Request Received,You have received a swap request.,2025-10-22 12:00:00,False,dea004
notif022,Grade Posted,Your grade has been posted.,2025-11-23 12:00:00,True,stu080
notif023,Assignment Deadline,Assignment deadline is approaching.,2025-12-24 12:00:00,False,stu013
notif024,Schedule Update,Your schedule has been updated.,2025-01-25 12:00:00,True,stu101
notif025,Leave Request Approved,Your leave request has been approved.,2025-02-26 12:00:00,False,ins002
notif026,Grade Posted,Your grade has been posted.,2025-03-27 12:00:00,True,stu011
notif027,New Message,You have a new message in your inbox.,2025-04-28 12:00:00,False,stu187
notif028,Swap Request Received,You have received a swap request.,2025-05-01 12:00:00,True,stu038
notif029,Assignment Deadline,Assignment deadline is approaching.,2025-06-02 12:00:00,False,ins009
notif030,System Maintenance,System maintenance on weekend.,2025-07-03 12:00:00,True,stu144
notif031,Assignment Deadline,Assignment deadline is approaching.,2025-08-04 12:00:00,False,adm001
notif032,Schedule Update,Your schedule has been updated.,2025-09-05 12:00:00,True,stu111
notif033,New Message,You have a new message in your inbox.,2025-10-06 12:00:00,False,ins003
notif034,Grade Posted,Your grade has been posted.,2025-11-07 12:00:00,True,stu106
