id;courseId;sectionNumber;studentCount;semesterId
CS101-1;CS101;1;27;2025-Spring
CS101-2;CS101;2;20;2025-Spring
CS101-3;CS101;3;69;2025-Spring
CS101-4;CS101;4;52;2025-Spring
ENG101-1;ENG101;1;88;2025-Spring
ENG101-2;ENG101;2;82;2025-Spring
ENG101-3;ENG101;3;51;2025-Spring
ENG101-4;ENG101;4;13;2025-Spring
GE100-1;GE100;1;35;2025-Spring
GE100-2;GE100;2;73;2025-Spring
GE100-3;GE100;3;44;2025-Spring
GE100-4;GE100;4;93;2025-Spring
MATH101-1;MATH101;1;14;2025-Spring
MATH101-2;MATH101;2;87;2025-Spring
MATH101-3;MATH101;3;78;2025-Spring
MATH101-4;MATH101;4;85;2025-Spring
MBG110-1;MBG110;1;52;2025-Spring
MBG110-2;MBG110;2;98;2025-Spring
MBG110-3;MBG110;3;33;2025-Spring
MBG110-4;MBG110;4;32;2025-Spring
MBG110-5;MBG110;5;22;2025-Spring
TURK101-1;TURK101;1;75;2025-Spring
TURK101-2;TURK101;2;32;2025-Spring
TURK101-3;TURK101;3;24;2025-Spring
TURK101-4;TURK101;4;52;2025-Spring
TURK101-5;TURK101;5;17;2025-Spring
CS102-1;CS102;1;34;2025-Spring
CS102-2;CS102;2;34;2025-Spring
CS102-3;CS102;3;77;2025-Spring
CS102-4;CS102;4;19;2025-Spring
CS102-5;CS102;5;56;2025-Spring
ENG102-1;ENG102;1;74;2025-Spring
ENG102-2;ENG102;2;56;2025-Spring
ENG102-3;ENG102;3;19;2025-Spring
ENG102-4;ENG102;4;66;2025-Spring
MATH102-1;MATH102;1;49;2025-Spring
MATH102-2;MATH102;2;53;2025-Spring
MATH102-3;MATH102;3;56;2025-Spring
MATH132-1;MATH132;1;10;2025-Spring
MATH132-2;MATH132;2;80;2025-Spring
MATH132-3;MATH132;3;98;2025-Spring
MATH132-4;MATH132;4;34;2025-Spring
MATH132-5;MATH132;5;69;2025-Spring
TURK102-1;TURK102;1;57;2025-Spring
TURK102-2;TURK102;2;48;2025-Spring
TURK102-3;TURK102;3;75;2025-Spring
CS201-1;CS201;1;45;2025-Spring
CS201-2;CS201;2;85;2025-Spring
CS201-3;CS201;3;11;2025-Spring
CS201-4;CS201;4;63;2025-Spring
CS201-5;CS201;5;93;2025-Spring
CS223-1;CS223;1;34;2025-Spring
CS223-2;CS223;2;23;2025-Spring
CS223-3;CS223;3;53;2025-Spring
HIST200-1;HIST200;1;50;2025-Spring
HIST200-2;HIST200;2;100;2025-Spring
HIST200-3;HIST200;3;71;2025-Spring
HIST200-4;HIST200;4;65;2025-Spring
HUM111-1;HUM111;1;81;2025-Spring
HUM111-2;HUM111;2;86;2025-Spring
