id,courseId,sectionNumber,studentCount
CS101-1,CS101,1,27
CS101-2,CS101,2,20
CS101-3,CS101,3,69
CS101-4,CS101,4,52
ENG101-1,ENG101,1,88
ENG101-2,ENG101,2,82
ENG101-3,ENG101,3,51
ENG101-4,ENG101,4,13
GE100-1,GE100,1,35
GE100-2,GE100,2,73
GE100-3,GE100,3,44
GE100-4,GE100,4,93
MATH101-1,MATH101,1,14
MATH101-2,MATH101,2,87
MATH101-3,MATH101,3,78
MATH101-4,MATH101,4,85
MBG110-1,MBG110,1,52
MBG110-2,MBG110,2,98
MBG110-3,MBG110,3,33
MBG110-4,MBG110,4,32
MBG110-5,MBG110,5,22
TURK101-1,TURK101,1,75
TURK101-2,TURK101,2,32
TURK101-3,TURK101,3,24
TURK101-4,TURK101,4,52
TURK101-5,TURK101,5,17
CS102-1,CS102,1,34
CS102-2,CS102,2,34
CS102-3,CS102,3,77
CS102-4,CS102,4,19
CS102-5,CS102,5,56
ENG102-1,ENG102,1,74
ENG102-2,ENG102,2,56
ENG102-3,ENG102,3,19
ENG102-4,ENG102,4,66
MATH102-1,MATH102,1,49
MATH102-2,MATH102,2,53
MATH102-3,MATH102,3,56
MATH132-1,MATH132,1,10
MATH132-2,MATH132,2,80
MATH132-3,MATH132,3,98
MATH132-4,MATH132,4,34
MATH132-5,MATH132,5,69
TURK102-1,TURK102,1,57
TURK102-2,TURK102,2,48
TURK102-3,TURK102,3,75
CS201-1,CS201,1,45
CS201-2,CS201,2,85
CS201-3,CS201,3,11
CS201-4,CS201,4,63
CS201-5,CS201,5,93
CS223-1,CS223,1,34
CS223-2,CS223,2,23
CS223-3,CS223,3,53
HIST200-1,HIST200,1,50
HIST200-2,HIST200,2,100
HIST200-3,HIST200,3,71
HIST200-4,HIST200,4,65
HUM111-1,HUM111,1,81
HUM111-2,HUM111,2,86
HUM111-3,HUM111,3,30
PHYS101-1,PHYS101,1,53
PHYS101-2,PHYS101,2,47
PHYS101-3,PHYS101,3,86
PHYS101-4,PHYS101,4,62
CS202-1,CS202,1,58
CS202-2,CS202,2,29
CS202-3,CS202,3,44
CS224-1,CS224,1,48
CS224-2,CS224,2,13
CS224-3,CS224,3,54
GE251-1,GE251,1,13
GE251-2,GE251,2,53
GE251-3,GE251,3,75
HUM112-1,HUM112,1,89
HUM112-2,HUM112,2,48
HUM112-3,HUM112,3,54
HUM112-4,HUM112,4,38
MATH225-1,MATH225,1,90
MATH225-2,MATH225,2,15
MATH225-3,MATH225,3,38
PHYS102-1,PHYS102,1,73
PHYS102-2,PHYS102,2,90
PHYS102-3,PHYS102,3,68
PHYS102-4,PHYS102,4,51
CS315-1,CS315,1,31
CS315-2,CS315,2,28
CS315-3,CS315,3,32
CS315-4,CS315,4,62
CS319-1,CS319,1,16
CS319-2,CS319,2,60
CS319-3,CS319,3,88
CS319-4,CS319,4,60
ENG401-1,ENG401,1,43
ENG401-2,ENG401,2,81
ENG401-3,ENG401,3,99
ENG401-4,ENG401,4,36
ENG401-5,ENG401,5,12
MATH230-1,MATH230,1,16
MATH230-2,MATH230,2,97
MATH230-3,MATH230,3,16
MATH230-4,MATH230,4,58
CS342-1,CS342,1,65
CS342-2,CS342,2,32
CS342-3,CS342,3,95
CS342-4,CS342,4,95
CS342-5,CS342,5,11
CS353-1,CS353,1,62
CS353-2,CS353,2,21
CS353-3,CS353,3,50
CS353-4,CS353,4,82
CS353-5,CS353,5,25
CS473-1,CS473,1,70
CS473-2,CS473,2,61
CS473-3,CS473,3,44
GE301-1,GE301,1,100
GE301-2,GE301,2,96
