id,day,startTime,endTime
slot001,Sunday,17:15:00,20:15:00
slot002,Saturday,08:15:00,11:15:00
slot003,Friday,08:45:00,11:45:00
slot004,Tuesday,17:45:00,20:45:00
slot005,Thursday,11:00:00,14:00:00
slot006,Tuesday,13:15:00,16:15:00
slot007,Saturday,19:00:00,22:00:00
slot008,Wednesday,13:30:00,16:30:00
slot009,Sunday,18:15:00,21:15:00
slot010,Thursday,06:15:00,09:15:00
slot011,Wednesday,09:00:00,12:00:00
slot012,Thursday,16:00:00,19:00:00
slot013,Thursday,06:15:00,09:15:00
slot014,Thursday,13:00:00,16:00:00
slot015,Monday,13:00:00,16:00:00
slot016,Friday,16:00:00,19:00:00
slot017,Sunday,10:00:00,13:00:00
slot018,Saturday,10:45:00,13:45:00
slot019,Thursday,20:45:00,23:45:00
slot020,Saturday,10:00:00,13:00:00
